[0.00s -> 2.16s]  All right, guys.
[228.56s -> 230.48s]  Be outside with my brother, like either like.
[231.52s -> 231.92s]  Just.
[233.20s -> 237.00s]  Riding bikes when we got a little bit older, we had this like.
[238.00s -> 243.00s]  Little go kart with without a motor, and then we'd like tie it to our quad and we just
[243.00s -> 244.92s]  drive it literally around town with this.
[245.84s -> 247.76s]  Sketchy rope and this like little.
[248.56s -> 251.16s]  Go kart thing tied to a quad and we're just hauling.
[251.20s -> 253.40s]  So I'm surprised I'm still here today for sure.
[253.44s -> 255.60s]  Just a lot of dumb things and.
[256.88s -> 258.88s]  But yeah, I wasn't a great kid growing up.
[261.16s -> 261.60s]  From.
[262.60s -> 265.96s]  Kindergarten to like eighth grade, I was constantly in trouble like just.
[267.64s -> 269.56s]  You know, not doing horrible things, but just getting.
[270.44s -> 274.08s]  In trouble like a typical like, you know, middle schooler, so.
[275.24s -> 276.28s]  Hit high school.
[277.00s -> 278.16s]  I don't know what clicked, but.
[279.20s -> 284.40s]  Yeah, I just started trying to get my shit together and picked up wrestling.
[285.44s -> 287.12s]  From there and.
[288.56s -> 292.20s]  That's for is I will say it right off the rip, like.
[293.00s -> 294.68s]  Wrestling is the hardest for.
[295.68s -> 296.84s]  On this planet, it's.
[297.76s -> 301.40s]  I haven't done anything crazy with running yet, you know.
[302.44s -> 307.76s]  I haven't dipped my toes into the multi-day races, but I think wrestling is gonna still
[308.24s -> 310.24s]  and forever be like the hardest sport, so.
[310.96s -> 314.84s]  There's not like a race that I'm going to sign up for that's going to scare me essentially.
[315.48s -> 316.56s]  You know, like.
[317.32s -> 319.60s]  Yeah, I'll get scared like, yeah, I'll be like, can I do this?
[319.60s -> 320.04s]  But like.
[321.32s -> 322.16s]  I know I could do it.
[322.76s -> 324.40s]  It's just putting one foot in front of the other.
[325.24s -> 325.60s]  Right.
[326.16s -> 329.72s]  So I think that mentality kind of helps me out just from wrestling.
[330.64s -> 331.80s]  And then during COVID.
[333.08s -> 336.36s]  I picked up cycling and I was putting in a lot of miles.
[337.44s -> 338.48s]  Uh, during COVID.
[339.84s -> 344.84s]  So I think I've built my base like that, like my actual endurance base, you know, from that.
[345.60s -> 347.12s]  And then yeah, I picked up.
[347.84s -> 351.48s]  Uh, running like 16 months ago, I had no idea what.
[352.48s -> 355.28s]  An ultra was 16 months ago, like zero idea.
[355.40s -> 355.68s]  So.
[356.04s -> 356.64s]  That's wild.
[357.04s -> 357.36s]  Yeah.
[358.16s -> 362.24s]  So would you say that wrestling was giving you some sort of like structure and
[362.24s -> 364.56s]  discipline, uh, in your life?
[364.56s -> 368.88s]  Like, what do you think it was about wrestling that kind of allows you to maybe to pivot
[368.88s -> 372.32s]  and move away from some things that were a little bit more destructive in your life?
[372.96s -> 373.28s]  Yeah.
[373.64s -> 379.44s]  My coaches, Aaron Grote and Chad Euker, they were not easy on me.
[379.72s -> 385.24s]  They were, they were like, you know, let's, let's get your shit figured out.
[385.56s -> 393.04s]  And let's work through whatever you need to like purge or like, uh, we're
[393.04s -> 398.00s]  through in your brain to like, have you here at practice and like only
[398.00s -> 399.40s]  solely on focused on wrestling.
[400.16s -> 404.40s]  And I'm not saying like my parents didn't instill, you know, discipline because they,
[405.00s -> 406.92s]  they for sure did, you know, right.
[406.92s -> 407.28s]  Right.
[407.96s -> 411.84s]  But there's something just about wrestling, about that whole lifestyle of like, I have
[411.84s -> 418.00s]  to be on point essentially 24 seven to like have the outcome that I want.
[418.08s -> 422.64s]  And I think that really like helped me like just channel my energy into like a
[422.64s -> 428.64s]  sport instead of just getting into dumb situations in middle school and sometimes
[428.64s -> 429.00s]  high school.
[429.36s -> 429.68s]  Yep.
[430.20s -> 430.40s]  Yeah.
[430.40s -> 434.20s]  I mean, when you're, yeah, I mean, as a young man, like a teenage, your parents
[434.20s -> 436.00s]  can do everything right.
[436.60s -> 441.32s]  Instilling, you know, good examples and morals and character, but like you want
[441.32s -> 442.40s]  to rebel against your parents.
[442.40s -> 446.16s]  So like, obviously it takes a village, you know, to raise up a strong man.
[446.16s -> 447.28s]  And I think that makes sense.
[447.28s -> 451.00s]  Like I remember my dad was my, my coach in baseball and like, he would have to go
[451.00s -> 455.00s]  tell the assistant coach, uh, what, what instruction to give me.
[455.00s -> 458.32s]  Cause he knew like, if it came from his mouth, like I wouldn't, I wouldn't listen
[458.32s -> 459.12s]  to it as much, right.
[459.12s -> 459.88s]  I would dismiss it.
[459.88s -> 463.40s]  And so totally makes sense that like, you know, you got these two wrestling coaches
[463.88s -> 468.64s]  maybe you look up to, um, and you, you absorb all of this stuff and you want to,
[469.04s -> 471.52s]  you want to impress them or you want to please them.
[471.60s -> 475.48s]  And so, yeah, they give you a lot of good, uh, good structure and good lessons.
[475.48s -> 478.40s]  Did, so when you got in, are you, are you naturally competitive?
[478.40s -> 483.00s]  Like you, you embrace wrestling in high school after never experiencing the sport.
[483.20s -> 484.64s]  Did you already want to be the best?
[484.64s -> 485.88s]  Did you already want varsity?
[485.88s -> 488.48s]  Like, what was that like setting goals and being in sports?
[489.28s -> 489.76s]  Yeah.
[489.80s -> 494.64s]  Um, my freshman year, I was still trying to figure out if I want to be a
[494.64s -> 495.92s]  troublemaker or not, I guess.
[496.52s -> 499.68s]  And I chose the troublemaker route, like my freshman year.
[499.96s -> 504.64s]  And I was so like getting in trouble here and there, not showing up to classes,
[505.32s -> 507.12s]  doing the typical dirtbag thing.
[508.36s -> 510.84s]  And then my sophomore year, I made it to varsity.
[510.88s -> 512.64s]  So I was naturally pretty good at it.
[512.84s -> 513.24s]  Yeah.
[513.24s -> 515.44s]  Skinny kid, little Mexican.
[516.68s -> 517.00s]  Yeah.
[517.04s -> 518.48s]  Just naturally pretty good.
[518.52s -> 520.08s]  Sophomore year, make it to varsity.
[520.44s -> 521.20s]  Do pretty well.
[521.24s -> 524.16s]  And then my junior year, that's when I really like hunkered down.
[524.16s -> 525.64s]  That's my junior year.
[525.64s -> 527.52s]  I like did really, really well.
[527.60s -> 530.84s]  And yeah, I was one of the better ones on the team.
[532.24s -> 537.64s]  And I spent essentially my whole junior year and going that summer to my senior
[537.64s -> 541.76s]  year, just wrestling nonstop as much as I could go into these camps, going to
[541.76s -> 544.04s]  Iowa, doing all of these like crazy camps.
[544.12s -> 550.76s]  And then maybe like two weeks into the season, I, I broke my ankle outside of
[550.76s -> 554.96s]  practice, like we hadn't regular high school practice and then afterwards we
[554.96s -> 560.36s]  had these youth program and I would try to stay back to help out and the kids
[560.36s -> 567.80s]  were live wrestling and I chose one of the dads that I knew were wrestler in
[567.80s -> 569.24s]  their, you know, high school days.
[570.24s -> 576.80s]  Much bigger guy and yeah, just took a bad shot and he caught me and my ankle was
[576.80s -> 581.44s]  at a weird angle and it snapped and I didn't just, I didn't get to wrestle my
[581.44s -> 582.36s]  senior year, you know?
[582.84s -> 590.12s]  And I think, I think that, that whole not being able to like display what I knew I
[590.12s -> 596.88s]  had really like lit like this like extra fire that I didn't know that I had and
[596.96s -> 601.48s]  my whole life, essentially until this conversation right now, I've been trying
[601.48s -> 604.40s]  to like prove myself in a weird way just from that.
[605.20s -> 606.00s]  That makes sense, man.
[606.04s -> 606.56s]  I get it.
[607.32s -> 610.68s]  I always look back and reflect on, you know, my high school days running cross
[610.68s -> 613.52s]  country and like I just half-assed everything.
[613.52s -> 614.64s]  I just had natural talent.
[614.64s -> 619.60s]  So I was like the best on varsity, my sophomore junior senior year, but like, I
[619.60s -> 622.76s]  always identified still as a baseball player, you know, I resented, I was good
[622.80s -> 623.40s]  at cross country.
[623.40s -> 628.12s]  And so like, I always had, I always have this kind of like regret about not
[628.12s -> 632.56s]  applying myself to running like I did in baseball in my, my high school days and
[632.56s -> 636.12s]  always wonder like, what if, and so you kind of have that too, right?
[636.12s -> 639.12s]  Like that burning inside of you of like, you'll know you'll never be able to
[639.52s -> 641.72s]  write that wrong or avoid that broken ankle.
[641.84s -> 647.68s]  And so you just apply everything, a hundred percent of everything you do now
[647.68s -> 651.24s]  moving forward is kind of like to go back and try and fix that, right?
[651.72s -> 654.76s]  It's such a wild thing because it's back in our high school.
[654.76s -> 656.68s]  It's like, we should be completely over it, right?
[656.72s -> 657.12s]  Right.
[658.20s -> 660.80s]  I think it's just human nature to like want to show out, you know?
[661.16s -> 661.48s]  So.
[662.56s -> 664.36s]  Yeah, I think it's a, yeah, I think it's a good thing.
[664.40s -> 667.08s]  You know, it's not that we want to go back and relive our glory days.
[667.12s -> 671.16s]  It's that we want to make new, new glory days for, or we want to, you know, it's
[671.16s -> 674.00s]  about being like the best you can now in the moment, like you're learning from
[674.00s -> 676.16s]  that experience in your past.
[676.16s -> 681.04s]  So, I mean, I don't necessarily discourage it from people or I don't, I don't have
[681.04s -> 686.32s]  shame for it because yeah, it's done so much good for me in my life, like holding
[686.32s -> 688.84s]  myself accountable to things that I've done in the past wrong.
[688.88s -> 695.16s]  So, yeah, so did you get like a college scholarship or were those things that
[695.16s -> 698.52s]  were brewing, but because of the ankle injury, we weren't able to do, like how
[698.52s -> 702.04s]  did you transition from like graduating and then those next couple of years out
[702.04s -> 702.52s]  of high school?
[702.96s -> 703.32s]  Yeah.
[704.24s -> 709.92s]  I actually did get a couple of scholarships from a Grand Canyon University.
[709.92s -> 715.72s]  I've been a small college in Montana and I really regret not taking it.
[716.00s -> 719.04s]  I was just, I don't know if I was just bummed out from not being able to wrestle
[719.04s -> 723.72s]  my senior year or just being burnt out, but I decided not to take it.
[723.76s -> 729.84s]  And I went to go work in Colorado for a couple of years and yeah, I essentially
[729.84s -> 734.72s]  worked for a year and then I would take a month off and then I would go travel.
[734.76s -> 736.24s]  So super cool.
[736.24s -> 736.92s]  I got to do that.
[736.96s -> 740.72s]  You know, like being pretty young, just traveling by myself, traveling the world.
[740.72s -> 746.60s]  Like I've been to like close to, I think 16 countries now.
[746.60s -> 749.60s]  So, yeah, so that was super cool.
[749.60s -> 752.52s]  I don't like, I'm super grateful I did that.
[752.52s -> 755.60s]  Like I chose, well, it's like a double edged sword because like I should have
[755.60s -> 757.76s]  went to college, but like I also travel the world.
[757.76s -> 762.56s]  So it's like, yeah, I think you made the right decision.
[762.60s -> 763.88s]  Yeah, it's working out.
[764.36s -> 765.80s]  So that's awesome, man.
[765.92s -> 766.84s]  So what are you doing now?
[766.84s -> 769.64s]  What do you do to keep the lights on and the roof over your head?
[769.64s -> 773.32s]  What kind of career have you found yourself in after, you know, getting out
[773.32s -> 774.68s]  of high school and going through that job?
[775.24s -> 778.20s]  Yeah, I am currently in the US Air Force.
[778.36s -> 781.52s]  So I work on the engines of a C-130.
[782.64s -> 787.52s]  Just basically a monkey with a wrench and that's it.
[787.56s -> 787.96s]  Yeah.
[788.56s -> 789.08s]  That's awesome.
[790.36s -> 795.20s]  So is that like, are you actually enlisted or is it like a civilian contractor job?
[795.20s -> 796.56s]  Like I'm kind of naive onto that.
[796.56s -> 798.24s]  So explain kind of how the nuance of that works.
[798.64s -> 800.36s]  Yeah, I'm actually enlisted.
[800.36s -> 801.24s]  So, okay.
[801.32s -> 802.68s]  Essentially it's a nine to five.
[802.68s -> 808.76s]  I show up five days a week, work 40 hours, sometimes more depending on, well,
[808.92s -> 811.32s]  what's going on like real world scenarios.
[811.44s -> 811.76s]  Right.
[811.88s -> 812.12s]  Right.
[814.72s -> 821.36s]  And yeah, it's basically a job with the best benefits and it's good.
[821.52s -> 821.76s]  It's good.
[821.76s -> 822.56s]  It keeps the lights on.
[822.76s -> 823.12s]  Okay.
[823.44s -> 825.76s]  Is that what brought you to the Tucson area then?
[825.76s -> 826.84s]  Yeah, exactly.
[827.08s -> 827.40s]  Okay.
[827.64s -> 827.96s]  Yeah.
[828.36s -> 831.60s]  So what's that culture like or what's the coworker vibe like?
[831.60s -> 835.24s]  Like do they think you're crazy for all the shit that you do or do you kind of fit in there?
[835.36s -> 836.04s]  Oh yeah.
[836.60s -> 843.56s]  I am definitely like an anomaly when it comes to the maintenance side of the Air Force
[843.56s -> 845.68s]  because we also have like our prior rescue guys.
[845.68s -> 847.08s]  Those are like the badass.
[847.08s -> 849.12s]  Like those are like the Navy SEALs of the Air Force.
[849.24s -> 849.52s]  Okay.
[849.56s -> 852.00s]  And those guys are, you know, put in some serious work, right?
[852.72s -> 858.96s]  And us maintenance guys, it's like guys that like walk around with like energy drinks,
[858.96s -> 861.88s]  you know, smoke cigarettes, like eat chips.
[862.16s -> 866.12s]  And I'm here like, you know, running these ultra marathons.
[866.12s -> 873.00s]  So like, yeah, they have a hard time like comprehending the distance and like what I do.
[873.20s -> 878.68s]  But yeah, they're super like stoked for me and they're all super cool guys.
[878.72s -> 882.72s]  Because like they're probably like your typical like best friend growing up.
[882.72s -> 886.08s]  Like, you know, like you guys just like BS with one another.
[886.20s -> 886.48s]  Right.
[886.48s -> 887.48s]  You guys could talk about whatever.
[887.48s -> 888.96s]  So all super cool guys.
[889.56s -> 894.88s]  So it's been my experience that like a lot of coworkers, if you work around an ultrarunner,
[894.88s -> 899.88s]  start to become curious about it or get, you know, they get excited for you.
[900.72s -> 901.36s]  Have you seen that?
[901.36s -> 902.80s]  Or is it infectious?
[902.80s -> 906.40s]  Like since you've started getting into it more and finding success and doing these wild things,
[906.40s -> 909.24s]  are they also like asking questions or saying things now that?
[909.24s -> 909.44s]  Yeah.
[909.84s -> 910.40s]  Yeah, that's.
[910.72s -> 914.52s]  First of all, they'll like, there'll be moments where they'll bring up like a friend that's like,
[914.52s -> 917.44s]  oh, I know this guy, you know, like, and it's like, oh, sick.
[917.44s -> 920.36s]  Or they'll tell me like, yeah, man, like I like really need to get into running.
[920.36s -> 921.36s]  And they'll ask me tips.
[922.24s -> 926.04s]  And I'll be like, I essentially don't know what the fuck I'm doing.
[926.56s -> 931.52s]  So like, you're like, you're better off like looking up like a YouTube video or something.
[931.52s -> 938.60s]  But no, they're anybody that knows what I have going on will try to relate to me in some sort of way.
[938.68s -> 939.00s]  Right.
[939.12s -> 939.52s]  Right.
[939.60s -> 939.92s]  Yeah.
[939.92s -> 940.16s]  Yeah.
[940.44s -> 942.00s]  So I think it's great.
[942.04s -> 943.44s]  It's one of the best things about our sport.
[943.44s -> 947.88s]  Like, you know, compare that to like being a fan of football or like you find out a guys, you know,
[947.88s -> 950.28s]  plays recreational basketball on the weekends.
[950.28s -> 954.20s]  Like nobody really gives two shits about that in like that same way.
[954.24s -> 959.60s]  Like I've had coworkers who have started running themselves just because they work next to me.
[959.84s -> 965.08s]  You know, it's like it's crazy when you see like just the positive influence it has on people, you know,
[965.08s -> 969.08s]  and even just like with their work, like they start taking their work a little bit more serious.
[969.08s -> 975.88s]  And yeah, it's it's super cool to lead by example and have positive influence there.
[976.16s -> 978.88s]  So it's cool to hear that you're doing that in your your line of work as well.
[979.00s -> 979.72s]  Yeah, for sure.
[979.72s -> 984.52s]  Yeah, there I've been told multiple times that like, oh, yeah, I'm going to start running.
[984.56s -> 985.60s]  I'm like, let's do it.
[985.68s -> 988.44s]  And then, you know, so it's awesome.
[988.48s -> 989.00s]  It's awesome.
[989.12s -> 989.84s]  I'm happy for.
[992.40s -> 997.32s]  So what's the balance like, like how, you know, a lot of things that we do, and especially with with what you're doing,
[997.36s -> 998.48s]  takes a lot of time.
[998.52s -> 1001.76s]  Like, how do you fit it into your 40 hour a week job?
[1001.76s -> 1002.92s]  And then how do you get time off?
[1002.92s -> 1007.96s]  Like, how has that been balancing, you know, your bigger goals and more commitment outside of work?
[1008.80s -> 1009.28s]  Yeah.
[1010.72s -> 1012.36s]  I just got to make time for it, Brian.
[1012.72s -> 1018.48s]  I look at my schedule, like, depending on what time I go in, and what time I get off, I'll either run or
[1019.12s -> 1027.20s]  run before or after or try to run during if I can, because we have like a little treadmill and like at our little unit.
[1027.84s -> 1034.48s]  So, yeah, I just I just make time and I'm surprised I get the results based on like how much time I'm putting in,
[1034.48s -> 1036.32s]  because I'm not putting in crazy amount of time.
[1037.44s -> 1041.72s]  And yeah, I follow essentially I don't follow any programs.
[1043.20s -> 1044.16s]  I just run off feel.
[1044.16s -> 1046.28s]  So I just make time to answer your question.
[1046.60s -> 1046.80s]  Yeah.
[1047.44s -> 1055.16s]  So, I mean, I know, sort of, you know, through your stravas or your social medias, that means like, you're up at four in the morning,
[1055.16s -> 1065.64s]  if it means you want to have a big, big mileage day, you're running till midnight, if you want to do these crazy, I've seen you run to work and run back or do these like double marathon days.
[1065.64s -> 1076.76s]  Like, I mean, yeah, I mean, I think sometimes, you know, people with a full life and full time job, they don't realize like, there's plenty of time, you know, in the hours that most people are sleeping or just scrolling their phone.
[1076.76s -> 1078.72s]  Right. Like you prioritize this.
[1078.72s -> 1081.88s]  So you're sacrificing things that other people, you know, probably take for granted.
[1082.40s -> 1082.68s]  Yeah.
[1082.84s -> 1089.16s]  And I would even put the title of sacrificing like, I need to do it.
[1089.32s -> 1090.40s]  I need to do it.
[1090.40s -> 1094.68s]  I need to run like bad things will start happening if I don't start running.
[1095.12s -> 1095.44s]  Yep.
[1095.80s -> 1096.16s]  Yeah.
[1096.52s -> 1096.92s]  Yeah.
[1097.20s -> 1103.44s]  My wife always gives me a hard time because she's like, dude, this sport is filled with nothing but like addicts recovering addicts.
[1103.44s -> 1105.28s]  And I'm just like, yeah, but it's, you know, it's great.
[1105.36s -> 1111.28s]  Like we're just a, we're like a junkyard of previous, like, you know, great muscle cars.
[1111.28s -> 1111.80s]  You know what I mean?
[1111.80s -> 1117.00s]  We've all got busted radiators, windows broken out, you know, convertible top shredded.
[1117.00s -> 1117.76s]  Like, yeah, we are.
[1117.76s -> 1124.68s]  We're a junkyard of people with issues that if we don't keep running, you know, bad things are going to happen.
[1125.28s -> 1126.24s]  That's a good way to put it.
[1126.24s -> 1126.92s]  That's awesome.
[1126.96s -> 1128.04s]  I've never heard it like that.
[1128.04s -> 1129.24s]  That's, I love that.
[1129.32s -> 1129.84s]  Yeah.
[1130.08s -> 1130.32s]  Yeah.
[1130.32s -> 1132.84s]  I think that's why we all kind of like are kindred spirits.
[1132.88s -> 1142.40s]  Like we just kind of know when we're around each other, like that there's something there that we all connect with and like we know how to support each other and keep each other on the rails.
[1142.40s -> 1150.68s]  And so even if we're not saying anything, it's just by living and being out there, like people just link up and make sure that they keep on the straight and narrow.
[1150.68s -> 1152.00s]  So yeah, I love that about it.
[1152.00s -> 1154.44s]  We're kind of like accountability partners without having to say anything.
[1154.88s -> 1155.16s]  Yeah.
[1156.00s -> 1156.64s]  I love it too.
[1156.92s -> 1157.32s]  Yeah.
[1157.56s -> 1158.16s]  Awesome, dude.
[1158.24s -> 1162.64s]  Well, yeah, you're definitely doing well with blending life and, and work and everything.
[1162.88s -> 1164.40s]  But I mean, you're still a young man.
[1164.40s -> 1165.56s]  So like how old are you?
[1165.56s -> 1166.60s]  You're not even 30 yet, right?
[1166.96s -> 1171.72s]  No, I turned 29 in eight days.
[1172.64s -> 1173.36s]  That's sick, dude.
[1173.52s -> 1178.32s]  I mean, I wish I would have gotten into it as, as, as heavily as you did at your age.
[1179.44s -> 1189.68s]  And so I think you're just going to have like a huge career as you keep building blocks and ultra running is years, not like, you know, 12 week period.
[1189.68s -> 1194.96s]  So I can only imagine what's going to happen, you know, two, three years from now with the path that you're on.
[1195.60s -> 1196.16s]  Tell me about it.
[1196.52s -> 1196.88s]  Go ahead.
[1196.88s -> 1197.16s]  Sorry.
[1197.32s -> 1197.68s]  No, go.
[1197.68s -> 1197.96s]  Yeah.
[1198.44s -> 1201.20s]  I was going to say, yeah, and that's what excites me about the future.
[1201.20s -> 1209.24s]  Like I'm relatively young and I am, yeah, it just comes with times, just comes with smiles on the legs that I'll get faster.
[1209.24s -> 1217.16s]  So I'm like, especially if I don't get injured, I'm going to get faster, you know, and I'm willing to throw myself into the fire.
[1217.20s -> 1218.40s]  I love being in the fire.
[1219.00s -> 1219.24s]  Yup.
[1219.68s -> 1220.20s]  Exactly.
[1220.96s -> 1222.00s]  So tell me about Tucson.
[1222.00s -> 1225.00s]  I've been like super stoked on what's going on down there.
[1225.72s -> 1235.44s]  You know, you've connected me with some of your mutual friends down there and the run scene, specifically trail seems like it's this young group of guys and girls.
[1235.44s -> 1237.48s]  And it looks like it's on fire, man.
[1237.48s -> 1239.12s]  Like what, what do you guys got going on down there?
[1239.72s -> 1246.48s]  Yeah, it's just a good community of people of a variety of ages, like wanting to get better.
[1249.12s -> 1254.44s]  Uh, we have essentially a trail, at least like 10 trails for every day.
[1254.48s -> 1262.56s]  Like, you know, like there's so many trails out here, Brian, like it's the, the hardest thing about running here in Tucson is trying to figure out which trail you want to hit.
[1263.72s -> 1265.24s]  And it's, yeah, it's a good problem.
[1265.24s -> 1271.08s]  So, and obviously it doesn't get as hot down here as it does in Phoenix.
[1271.08s -> 1278.36s]  So that kind of helps us out in a sense, but yeah, like the whole community, like everybody that I know that's like around my.
[1278.60s -> 1287.80s]  Like, we're all pretty new to ultra running and like, we're just falling in love into this for, and we all want to better one another.
[1287.80s -> 1292.88s]  And we try to link up and, uh, yeah, just share miles, man.
[1292.88s -> 1293.68s]  It's, it's great.
[1293.68s -> 1297.24s]  Like it's, it's hard to beat the trails out here in Tucson for sure.
[1297.68s -> 1297.96s]  Yep.
[1298.80s -> 1299.20s]  Totally.
[1299.60s -> 1311.20s]  And they've had different periods of, you know, dope trail running clubs, but from the 95 perspective and just the size of the participants right now, I feel like it's as big as it's ever been.
[1311.24s -> 1317.08s]  You know, we've talked about like Scion and, you know, there's been some different crushers that have been down there.
[1317.08s -> 1319.64s]  And I mean, I feel like you're, you're carrying the mantle now.
[1319.72s -> 1324.88s]  I mean, you're, you're right there in the pedigree of those that have come before and represented.
[1324.92s -> 1334.60s]  So, yeah, I mean, I think, uh, you know, Charlie's obviously the big dog for, for Tucson, you know, anybody that's been around Charlie, where's name multiple time golden ticket winner.
[1334.60s -> 1337.96s]  So, um, yeah, I mean, do you feel like you're following in those footsteps?
[1337.96s -> 1340.80s]  Do you feel the presence of those guys on the trail when you're out there running?
[1341.40s -> 1342.84s]  Oh, I don't feel it.
[1342.84s -> 1344.40s]  I actually like visually see it.
[1344.40s -> 1348.08s]  I'll see like I'll go on Strava and I'm like nowhere near their times.
[1348.08s -> 1348.68s]  I'm like, wow.
[1349.48s -> 1349.80s]  Right.
[1349.80s -> 1352.96s]  I thought, I thought I was fit, but they're on a whole different level.
[1353.44s -> 1353.68s]  Yeah.
[1353.68s -> 1359.68s]  But yeah, I look up to them and just like kind of Strava's talking them.
[1359.68s -> 1362.92s]  I, I see how fit and elite these guys are.
[1363.08s -> 1367.60s]  And there's some, some other killers that essentially don't race.
[1367.60s -> 1373.00s]  I know this woman that runs this like Tuma Mockale that I typically do.
[1373.84s -> 1377.36s]  And she's a little bit older and she's a crusher though.
[1377.40s -> 1378.20s]  And she doesn't race.
[1378.20s -> 1380.64s]  She just like runs for fun and it's crazy to see.
[1380.68s -> 1384.88s]  So we got some very fit people here in Tucson that might not even race.
[1385.20s -> 1385.60s]  Right.
[1385.60s -> 1386.48s]  Which is super cool to see.
[1386.76s -> 1387.00s]  Yeah.
[1387.00s -> 1389.72s]  And then you've got like the, you got the try scene there as well.
[1389.72s -> 1392.84s]  Like, I mean, I think Heather Jackson's done a lot of training down there.
[1392.84s -> 1393.12s]  Yep.
[1393.56s -> 1395.32s]  Lionel Sanders down there.
[1395.48s -> 1398.64s]  I don't know if Sam Long's down there, but like, yeah, I mean, there's a ton of
[1398.64s -> 1402.52s]  like endurance athletes that are, you know, top level world class.
